piece	div1_nom	div1_num	div2_nom	div2_num	pos	JOKER	SOCIAL WORKER	KID #1	KID #2	WOMAN ON BUS
Joker	ACT 1	1	SCENE I	1	1	0	0	0	0	0
Joker	ACT 1	1	SCENE I	1	2	0	0	0	0	0
Joker	ACT 1	1	SCENE I	1	3	1	1	0	0	0
Joker	ACT 1	1	SCENE I	1	4	0	0	0	0	0
Joker	ACT 1	1	SCENE I	1	5	1	1	0	0	0
Joker	ACT 1	1	SCENE I	1	6	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	7	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	8	0	0	0	0	0
Joker	ACT 1	1	SCENE 2	2	9	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	10	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	11	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	12	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	13	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	14	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	15	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	16	0	0	0	0	0
Joker	ACT 1	1	SCENE 2	2	17	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	18	0	0	0	0	0
Joker	ACT 1	1	SCENE 2	2	19	1	1	0	0	0
Joker	ACT 1	1	SCENE 2	2	20	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	21	0	0	0	0	0
Joker	ACT 1	1	SCENE 3	3	22	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	23	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	24	0	0	0	0	0
Joker	ACT 1	1	SCENE 3	3	25	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	26	0	0	0	0	0
Joker	ACT 1	1	SCENE 3	3	27	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	28	0	0	0	0	0
Joker	ACT 1	1	SCENE 3	3	29	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	30	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	31	0	0	0	0	0
Joker	ACT 1	1	SCENE 3	3	32	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	33	1	1	0	0	0
Joker	ACT 1	1	SCENE 3	3	34	0	0	0	0	0
Joker	ACT 1	1	SCENE 4	4	35	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	36	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	37	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	38	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	39	0	0	0	0	0
Joker	ACT 1	1	SCENE 4	4	40	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	41	0	0	0	0	0
Joker	ACT 1	1	SCENE 4	4	42	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	43	0	0	0	0	0
Joker	ACT 1	1	SCENE 4	4	44	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	45	1	1	0	0	0
Joker	ACT 1	1	SCENE 4	4	46	0	0	0	0	0
Joker	ACT 1	1	SCENE 4	4	47	1	1	0	0	0
Joker	ACT 1	1	SCENE 5	5	48	1	1	0	0	0
Joker	ACT 1	1	SCENE 5	5	49	0	0	0	0	0
Joker	ACT 1	1	SCENE 5	5	50	1	1	0	0	0
Joker	ACT 1	1	SCENE 5	5	51	0	0	0	0	0
Joker	ACT 1	1	SCENE 5	5	52	1	1	0	0	0
Joker	ACT 2	2	SCENE 6	6	53	0	0	0	0	0
Joker	ACT 2	2	SCENE 6	6	54	0	0	0	0	0
Joker	ACT 2	2	SCENE 6	6	55	0	0	0	0	0
Joker	ACT 2	2	SCENE 6	6	56	1	0	1	0	0
Joker	ACT 2	2	SCENE 6	6	57	0	0	0	0	0
Joker	ACT 2	2	SCENE 6	6	58	1	0	0	1	0
Joker	ACT 2	2	SCENE 6	6	59	0	0	0	0	0
Joker	ACT 3	3	SCENE 6	6	60	0	0	0	0	0
Joker	ACT 3	3	SCENE 6	6	61	0	0	0	0	0
Joker	ACT 3	3	SCENE 7	7	62	0	0	0	0	0
Joker	ACT 4	4	SCENE 7	7	63	0	0	0	0	0
Joker	ACT 4	4	SCENE 7	7	64	0	0	0	0	0
Joker	ACT 4	4	SCENE 7	7	65	1	0	0	0	1
Joker	ACT 4	4	SCENE 7	7	66	1	0	0	0	1
Joker	ACT 4	4	SCENE 7	7	67	1	0	0	0	1
Joker	ACT 4	4	SCENE 7	7	68	0	0	0	0	0
