piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
Joker	ACT 1	1	SCENE I	1	1	NARRATION	NARRATION	"INT. DEPT. OF HEALTH, OFFICE - MORNING"	
Joker	ACT 1	1	SCENE I	1	2	NARRATION	NARRATION	"CLOSE ON JOKER (30's), tears in his eyes from laughing so hard. He's trying to get it under control. His greasy, black hair is matted down. He's wearing an old, faded red hooded zip-up sweatshirt, a threadbare gray scarf, thin from years of use, hangs loosely around his neck.
WE NOTICE TWO FADED OLD SCARS cut at the corners of his mouth. Almost forming a smile.
He's sitting across from an overworked SOCIAL WORKER (50's), African American. Her office is cramped and run-down in a cramped and run-down building. Stacks of folders piled high in front of her.
She just sits behind her desk, waiting for his laughing fit to end, she's been through this before. Finally it subsides.
Joker takes a deep breath, pauses to see if it's over."	
Joker	ACT 1	1	SCENE I	1	3	JOKER	JOKER	#NAME?	
Joker	ACT 1	1	SCENE I	1	4	NARRATION	NARRATION	"Despite the laughter, there's real pain in his eyes.
Something broken in him. Looks like he hasn't slept in days."	
Joker	ACT 1	1	SCENE I	1	5	SOCIAL WORKER	SOCIAL WORKER	"It's certainly tense. People are upset, they're struggling. Looking for work. The garbage strike seems like it's been going on forever. These are tough times.
(then)
How 'bout you. How's the job? Still enjoying it?"	
Joker	ACT 1	1	SCENE I	1	6	JOKER	JOKER	"Yeah, I   mean, it's different each day, so  I really like that. I don't think I   could ever work in an office.   Behind a desk."	
Joker	ACT 1	1	SCENE 2	2	7	JOKER	JOKER	No offense.	
Joker	ACT 1	1	SCENE 2	2	8	NARRATION	NARRATION	"She smiles. Writes something down. Looks at the clock, she's running late for her next appointment."	
Joker	ACT 1	1	SCENE 2	2	9	SOCIAL WORKER	SOCIAL WORKER	Have you been keeping up with your journal?	
Joker	ACT 1	1	SCENE 2	2	10	JOKER	JOKER	Everyday.	
Joker	ACT 1	1	SCENE 2	2	11	SOCIAL WORKER	SOCIAL WORKER	Great. Did you bring it with you?	
Joker	ACT 1	1	SCENE 2	2	12	JOKER	JOKER	"(dodging the subject)
I'm sorry. Did I bring what?"	
Joker	ACT 1	1	SCENE 2	2	13	SOCIAL WORKER	SOCIAL WORKER	"(impatient; she doesn't have time for this)
Arthur, last time I asked you to bring your journal with you. For these appointments. Do you have it?"	
Joker	ACT 1	1	SCENE 2	2	14	JOKER	JOKER	Yes ma'am.	
Joker	ACT 1	1	SCENE 2	2	15	SOCIAL WORKER	SOCIAL WORKER	Can I see it?	
Joker	ACT 1	1	SCENE 2	2	16	NARRATION	NARRATION	He reluctantly reaches into his bag. Pulls out a weathered notebook. Slides it across to her--	
Joker	ACT 1	1	SCENE 2	2	17	JOKER	JOKER	"I've been using it as a journal, but also a joke diary. Funny thoughts or, or observations-- Did I tell you I'm pursuing a career in stand-up comedy?"	
Joker	ACT 1	1	SCENE 2	2	18	NARRATION	NARRATION	She's half-listening as she flips through his journal.	
Joker	ACT 1	1	SCENE 2	2	19	SOCIAL WORKER	SOCIAL WORKER	No. You didn't.	
Joker	ACT 1	1	SCENE 2	2	20	JOKER	JOKER	I think I did.	
Joker	ACT 1	1	SCENE 3	3	21	NARRATION	NARRATION	"She doesn't respond, keeps flipping through his journal--"	
Joker	ACT 1	1	SCENE 3	3	22	SOCIAL WORKER	SOCIAL WORKER	"Oh yeah. Because of what your mother said,-- about your purpose. ""To bring laughter and joy to the world,"" right?"	
Joker	ACT 1	1	SCENE 3	3	23	JOKER	JOKER	Right.	
Joker	ACT 1	1	SCENE 3	3	24	NARRATION	NARRATION	"ANGLE ON JOURNAL, pages and pages of notes, all in neat, angry-looking handwriting. Also, cut out photos from hardcore pornographic magazines and some crude handmade drawings.
A flash of anger crosses Joker's face. We see him picking at his right eyebrow, almost obsessively. Trying to stay calm. His eyebrow is actually half-gone. Something he does a lot."	
Joker	ACT 1	1	SCENE 3	3	25	JOKER	JOKER	I didn't realize you wanted to read it.	
Joker	ACT 1	1	SCENE 3	3	26	NARRATION	NARRATION	"The social worker gives him a look, then reads something in the pages that gives her pause."	
Joker	ACT 1	1	SCENE 3	3	27	SOCIAL WORKER	SOCIAL WORKER	"(reading out loud)
""I just hope my death makes more sense than my life."""	
Joker	ACT 1	1	SCENE 3	3	28	NARRATION	NARRATION	"She looks up at Joker. He just stares back. Lets it hang out there for a beat.
Then he laughs a little, even though he doesn't think it's funny--"	
Joker	ACT 1	1	SCENE 3	3	29	JOKER	JOKER	"Yeah. I mean, that's just--"	
Joker	ACT 1	1	SCENE 3	3	30	SOCIAL WORKER	SOCIAL WORKER	Does my reading it upset you?	
Joker	ACT 1	1	SCENE 3	3	31	NARRATION	NARRATION	He leans in.	
Joker	ACT 1	1	SCENE 3	3	32	JOKER	JOKER	"No. I just,-- some of it's personal. You know?"	
Joker	ACT 1	1	SCENE 3	3	33	SOCIAL WORKER	SOCIAL WORKER	I understand. I just want to make sure you're keeping up with it.	
Joker	ACT 1	1	SCENE 3	3	34	NARRATION	NARRATION	She slides his journal back to him. He holds it in his lap.	
Joker	ACT 1	1	SCENE 4	4	35	SOCIAL WORKER	SOCIAL WORKER	What about your mom? How's she feeling?	
Joker	ACT 1	1	SCENE 4	4	36	JOKER	JOKER	She has good days. But mostly bad. It's been a big help having me there. She really needs me.	
Joker	ACT 1	1	SCENE 4	4	37	SOCIAL WORKER	SOCIAL WORKER	Seems like she's been sick a lot since you got home.	
Joker	ACT 1	1	SCENE 4	4	38	JOKER	JOKER	"(nods)
Yeah, it's good I'm there. When I was in the hospital, after my last episode-- she was having trouble getting over there to visit."	
Joker	ACT 1	1	SCENE 4	4	39	NARRATION	NARRATION	"She looks back up at the clock, she needs to get to her next
appointment."	
Joker	ACT 1	1	SCENE 4	4	40	SOCIAL WORKER	SOCIAL WORKER	"All right. So, I'll see you again, two weeks from today?"	
Joker	ACT 1	1	SCENE 4	4	41	NARRATION	NARRATION	"He nods. But keeps sitting there for a moment.
She stands up, trying to signal it's time for him to leave--"	
Joker	ACT 1	1	SCENE 4	4	42	SOCIAL WORKER	SOCIAL WORKER	"Is there something else I can help you with, Arthur? My next appointment is waiting."	
